time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443700000	-0.0533334	3.21186	0	0	0	radar	0	-0.0533334	3.21186	-0.0712	3.395	-0.2028	0.9792
1477010444500000	-0.182978	4.45649	-0.113225	5.03013e-17	-4.1157e-17	radar	5.89397	-0.202822	4.87228	-0.3356	4.1478	-0.4399	0.898
1477010445300000	-0.555212	4.59965	-0.533742	-0.151462	-0.248134	radar	1.96368	-0.577651	4.79856	-0.7789	4.8112	-0.6494	0.7604
1477010446100000	-1.37051	5.152	-1.01203	-1.14878	-1.17682	radar	5.93017	-1.5299	5.5668	-1.3732	5.3436	-0.8181	0.575
1477010446900000	-2.03542	5.45946	-1.31783	-0.632826	-0.26235	radar	1.52031	-2.04484	5.38835	-2.0813	5.7114	-0.9354	0.3535
1477010447700000	-2.93661	5.85676	-1.40828	0.200365	-0.00744637	radar	1.45297	-3.08565	5.81572	-2.8586	5.8916	-0.994	0.1097
1477010448500000	-3.36998	5.88523	-1.23178	-0.217505	-0.508706	radar	1.29953	-3.27317	5.74326	-3.6563	5.8728	-0.99	-0.1409
1477010449300000	-4.37092	5.42403	-1.00466	0.417329	0.376991	radar	4.36322	-4.29886	5.22027	-4.4242	5.6562	-0.9239	-0.3827
1477010450100000	-4.82196	5.34709	-0.857893	0.48558	0.31491	radar	0.655769	-4.85165	5.46733	-5.1142	5.2554	-0.7997	-0.6004
1477010450900000	-5.69165	4.71684	-1.33948	0.74579	0.286705	radar	1.38447	-5.79932	4.65233	-5.6828	4.6957	-0.6253	-0.7804
1477010451700000	-5.92605	4.39054	-0.825369	0.977584	0.325333	radar	1.7318	-5.81208	4.44403	-6.0944	4.0121	-0.4115	-0.9114
1477010452500000	-6.13704	3.59933	-0.949935	1.21732	0.162559	radar	1.32342	-5.97985	3.46039	-6.323	3.2476	-0.1719	-0.9851
1477010453300000	-6.35534	2.5971	-1.27689	1.5155	0.282088	radar	0.856334	-6.33016	2.52022	-6.3543	2.4503	0.0784	-0.9969
1477010454100000	-6.10053	1.85524	-1.08033	1.91167	0.33397	radar	0.481482	-6.01192	1.86888	-6.1864	1.6703	0.3239	-0.9461
1477010454900000	-6.10744	1.28968	-1.04651	2.2616	0.673955	radar	5.39709	-6.58256	1.41536	-5.8297	0.9566	0.549	-0.8358
1477010455700000	-5.63308	0.221054	-1.24548	2.00538	0.115766	radar	2.33433	-5.5394	0.124616	-5.3068	0.3539	0.7396	-0.673
1477010456500000	-4.85021	-0.264652	-1.26787	2.78423	0.641404	radar	1.91096	-4.87055	0.0852795	-4.6504	-0.0997	0.8838	-0.468
1477010457300000	-4.20392	-0.148351	-0.926704	3.43173	0.718194	radar	1.35141	-4.23888	-0.405162	-3.9018	-0.3759	0.9724	-0.2335
1477010458100000	-3.25134	-0.0316318	-1.29357	3.90143	0.75781	radar	4.11028	-2.94734	-0.412017	-3.108	-0.4572	0.9999	0.0157
1477010458900000	-2.03746	-0.882447	-1.07916	3.11518	0.235637	radar	4.39497	-1.72273	-0.251549	-2.319	-0.3386	0.9646	0.2638
1477010459700000	-1.85358	-0.290939	-0.480422	3.22421	0.0341316	radar	3.92917	-1.6405	0.000832459	-1.5843	-0.0275	0.8686	0.4954
1477010460500000	-1.26789	-0.295273	-0.848468	3.14649	-0.00687796	radar	2.81854	-1.10391	0.550363	-0.95	0.4566	0.7181	0.6959
1477010461300000	-1.21157	-0.255188	-0.78418	3.37429	0.139996	radar	0.330242	-0.570854	1.54416	-0.456	1.0832	0.5225	0.8526
1477010462100000	-1.55008	0.0399645	-0.587446	4.03588	0.343212	radar	0.716735	-0.144482	2.09051	-0.1334	1.813	0.2941	0.9558
1477010462900000	-1.87527	1.40266	-1.10616	6.37701	2.635	radar	20.2231	-0.145975	2.86518	-0.0024	2.6	0.0471	0.9989
1477010463700000	-1.05541	4.25634	-0.983725	9.08693	5.6475	radar	9.63389	0.0275562	3.6275	0.0509	3.3969	0.172	0.9851
1477010464500000	0.217387	4.92355	-2.11144	8.4132	5.57925	radar	3.42462	0.374503	4.31889	0.2915	4.1576	0.4115	0.9114
1477010465300000	-0.319565	2.32684	-1.77854	15.3263	5.28338	radar	4.18034	0.622679	4.34945	0.7137	4.8347	0.6253	0.7804
1477010466100000	-0.0450373	3.63115	-3.88044	22.4551	7.12442	radar	16.3615	1.04067	5.47619	1.2911	5.3854	0.7997	0.6004
1477010466900000	0.933976	5.41677	-4.36986	27.3404	6.69847	radar	12.4166	1.96142	5.44085	1.9873	5.7753	0.9239	0.3827
1477010467700000	2.47283	6.23943	-4.82717	29.1208	4.61619	radar	9.96488	2.87162	6.16523	2.7585	5.9798	0.99	0.1409
1477010468500000	3.736	6.49219	-6.8677	33.0817	5.46907	radar	1.4122	3.48687	6.01305	3.5564	5.9861	0.994	-0.1098
1477010469300000	4.60102	6.05416	-5.48346	37.1116	4.99922	radar	14.4037	4.29742	5.7973	4.3308	5.7937	0.9354	-0.3535
1477010470100000	4.71011	4.79239	-2.56429	40.5431	3.66179	radar	32.6928	5.1486	5.00443	5.033	5.4148	0.8181	-0.575
1477010470900000	5.62304	5.3862	-2.74417	43.2851	3.47873	radar	17.166	5.41229	4.58467	5.6189	4.8732	0.6494	-0.7604
1477010471700000	5.31025	4.36799	-1.88277	46.2777	3.38328	radar	11.7132	5.9595	4.47334	6.0517	4.2029	0.4399	-0.898
1477010472500000	6.27324	4.32806	-1.74951	49.1296	4.02336	radar	14.525	6.41022	3.82073	6.3042	3.446	0.2028	-0.9792
1477010473300000	6.12268	3.21297	-0.671238	52.1966	3.53094	radar	33.695	6.74297	2.61147	6.3606	2.6501	-0.0471	-0.9989
