time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735463	0.629594	7.20081	-9.39719e-18	2.01748e-17	radar	74.7453	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494951	7.20388	-0.127214	-0.0118578	lidar	0.221135	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25807	0.533066	7.18919	0.122863	0.0306621	radar	1.8248	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61577	0.595369	7.2026	0.161624	0.0462404	lidar	0.16763	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85109	0.561771	6.01517	0.0249727	-0.235445	radar	7.75023	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16313	0.591081	6.0147	0.0396903	-0.179428	lidar	0.25467	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37908	0.636816	5.61706	0.0545917	-0.351281	radar	6.38795	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65675	0.653707	5.61418	0.0431693	-0.328233	lidar	0.00932493	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92325	0.6471	5.55006	-0.0053992	-0.4854	radar	0.458104	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15954	0.642381	5.50631	-0.0189132	-0.448969	lidar	1.21679	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4449	0.538383	5.53722	-0.167055	-0.861072	radar	1.25255	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74793	0.426324	5.60017	-0.284778	-1.07758	lidar	2.05063	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02908	0.510062	5.56036	-0.14888	-0.556808	radar	4.18358	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30321	0.50172	5.5438	-0.141991	-0.473148	lidar	0.389994	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56476	0.535678	5.47477	-0.104073	-0.342265	radar	2.20549	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75671	0.639946	5.32805	-0.00570927	-0.102774	lidar	13.2625	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01007	0.637158	5.27666	-0.0155762	-0.114969	radar	2.25649	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.31102	0.63617	5.31923	-0.0193764	-0.110943	lidar	2.28276	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56848	0.644488	5.32061	-0.0125806	-0.0878768	radar	1.6652	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86143	0.662528	5.34769	-0.00238927	-0.063356	lidar	1.4841	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10595	0.587624	5.30646	-0.0570123	-0.148481	radar	3.94242	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36321	0.702476	5.28111	0.0189844	-0.0195651	lidar	4.15686	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61551	0.73293	5.25101	0.0327023	0.00140066	radar	0.925282	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86392	0.733032	5.23733	0.0280631	-0.00526001	lidar	0.369013	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11116	0.714855	5.19057	0.0111412	-0.0308143	radar	3.78229	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.33487	0.8006	5.14894	0.0565782	0.0337092	lidar	3.71207	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.62145	0.812308	5.19869	0.0567785	0.0322587	radar	3.54965	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.87139	0.792341	5.1898	0.0400777	0.00826437	lidar	0.572297	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.1245	0.808916	5.16016	0.0424784	0.00922569	radar	2.79001	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.36328	0.828297	5.14102	0.0477091	0.0155704	lidar	0.697021	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
